"agecat_cdc","sex_cdc","year_cdc","allcause","sncause","smncause","cardcause","pulcause","extcause","othcause"
13,1,1979,176.044378698225,23.008875739645,22.6834319526627,82.405325443787,16.1420118343195,4.15384615384615,50.3343195266272
13,1,1980,188.010711272514,24.0358020615531,23.6953890172774,87.5272367117861,19.5267965225047,4.40189281390998,52.5189831627599
13,1,1981,182.538413662759,24.014606042265,23.6591618941033,84.3301947662633,19.3924046296243,4.33527661834149,50.4659316062649
13,1,1982,179.404812074562,24.7204213146827,24.3115540583913,82.945630423073,18.5539216370319,4.0649498893407,49.1198888104335
13,1,1983,183.867316103326,24.8208791974077,24.4016675610759,84.1536635956342,20.9892575311302,4.23990922088084,49.6636065582726
13,1,1984,183.169934202951,24.9584249412861,24.5366489833191,82.4391236700668,21.7315041200147,4.2485559194582,49.7923255521249
13,1,1985,186.056500084062,24.9479867182246,24.5066619031607,82.4804556153329,24.3319708305313,4.3002900134499,49.9957969065231
13,1,1986,183.562776638515,25.2834922807662,24.8237924211159,79.849095174564,24.4218760633769,4.30037662002468,49.7079364997836
13,1,1987,182.068625105077,25.4002337698457,24.9893200003508,78.7100314323978,23.9419910024918,4.37598108794432,49.6403878123979
13,1,1988,187.059301250649,26.1929182110022,25.7399542592805,79.7377005476297,25.7843866905121,4.53704492242221,50.8072508790832
13,1,1989,180.15660455905,26.6863023950295,26.2146599000407,75.0477056758324,25.0102871003371,4.38555330161778,49.0267560862337
13,1,1990,180.566006559466,27.8486068564133,27.3992632190836,74.1844947915367,25.5983224504206,4.24380101922549,48.6907814418699
13,1,1991,177.601686968575,27.9183333257833,27.4709967338766,72.4594679072801,25.2411087605492,4.27404632368596,47.7087306512768
13,1,1992,176.094309557536,28.3031334948991,27.8204020650421,71.0478002409289,24.529746413098,4.13161312024709,48.0820162883633
13,1,1993,181.501125597333,28.6551974443741,28.1415090672827,72.8891241980841,25.6487022802932,4.4057444857286,49.9023571888534
13,1,1994,178.561868297669,28.3647528350557,27.8770340206687,70.7699265075682,25.0328525771022,4.32153344473466,50.0728029332078
13,1,1995,178.610297522631,28.6824946804665,28.1871772376723,69.934524309633,25.0990146406848,4.3611381945435,50.5331256973033
13,1,1996,177.104924754536,28.0678647949725,27.5848144832069,68.9743011573395,24.842183123241,4.35500046701153,50.8655752119713
13,1,1997,176.481281682344,27.874554958784,27.4146298011505,67.2945038943663,25.450403979716,4.36019956752492,51.5016192819531
13,1,1998,173.57225383123,27.0389989754322,26.5341268284176,65.5487977677501,25.8670677740719,4.41828526584265,50.6991040481329
13,1,1999,175.971876545072,28.3136821111027,27.2217613193554,65.6158081303266,23.5638685672625,4.54785428765367,53.9306634487267
13,1,2000,175.014140202348,28.1956449806764,27.1068086500548,64.3000233089214,23.444210993009,4.38224023185042,54.6920206878903
